timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219902.667,-40.039,-443.848,16.113,-83.008,0.000
1722219902.671,-51.758,-593.262,-19.043,-85.938,0.000
1722219902.675,-61.523,-981.934,-53.223,-67.383,0.000
1722219902.679,-52.734,-784.668,-4.395,-57.617,0.000
1722219902.683,-35.645,-380.371,22.461,-72.754,0.000
1722219902.687,-40.527,-479.980,-16.602,-82.520,0.000
1722219902.691,-64.941,-911.133,-99.121,-69.824,0.000
1722219902.695,-58.105,-842.285,-65.430,-60.059,0.000
1722219902.698,-44.434,-333.984,34.668,-75.195,0.000
1722219902.702,-44.434,-217.285,7.324,-82.031,0.000
1722219902.706,-51.758,-688.965,-83.984,-65.430,0.000
1722219902.710,-78.613,-704.590,-51.270,-55.664,0.000
1722219902.714,-69.336,-183.594,39.062,-68.359,0.000
1722219902.718,-49.805,-238.770,-20.996,-79.102,0.000
1722219902.722,-61.523,-556.641,-42.969,-74.219,0.000
1722219902.726,-71.289,-487.793,-9.766,-59.570,0.000
1722219902.730,-42.480,-333.496,-6.348,-61.523,0.000
1722219902.734,-24.414,-277.832,-15.137,-73.730,0.000
1722219902.738,-40.527,-601.074,-49.805,-66.895,0.000
1722219902.742,-54.199,-782.227,-41.016,-53.711,0.000
1722219902.745,-41.016,-383.789,12.207,-44.922,0.000
1722219902.749,-25.391,-147.949,-2.930,-57.617,0.000
1722219902.753,-35.156,-599.609,-73.242,-72.754,0.000
1722219902.757,-61.035,-369.629,-8.301,-68.848,0.000
1722219902.761,-59.082,278.320,34.668,-63.965,0.000
1722219902.765,-34.668,-3.418,-39.062,-58.105,0.000
1722219902.769,-43.457,-242.188,-63.965,-66.406,0.000
1722219902.773,-62.012,20.508,-24.414,-74.219,0.000
1722219902.777,-49.805,178.711,-13.184,-55.664,0.000
1722219902.781,-27.832,-101.074,-53.223,-48.340,0.000
1722219902.785,-29.297,-535.156,-97.656,-56.641,0.000
1722219902.789,-53.711,-547.852,-85.449,-64.453,0.000
1722219902.792,-59.570,-213.867,-22.949,-61.523,0.000
1722219902.796,-34.180,-418.457,-81.055,-52.246,0.000
1722219902.800,-14.160,-740.234,-127.930,-52.734,0.000
1722219902.804,-26.367,-135.254,-24.414,-56.641,0.000
1722219902.808,-59.570,-91.797,-41.016,-53.223,0.000
1722219902.812,-55.664,-236.816,-43.457,-50.781,0.000
1722219902.816,-32.227,-114.258,-28.809,-55.664,0.000
1722219902.820,-28.320,12.207,-44.434,-53.223,0.000
1722219902.824,-36.621,-119.141,-72.266,-31.738,0.000
1722219902.828,-24.414,-300.781,-70.312,-8.301,0.000
1722219902.832,16.602,-422.363,-72.754,0.000,0.000
1722219902.836,30.762,-583.984,-87.402,-4.395,0.000
1722219902.839,7.812,-701.660,-89.355,-15.137,0.000
1722219902.843,13.672,-869.141,-138.672,-1.465,0.000
1722219902.847,22.949,-524.902,-52.246,-3.906,0.000
