timestamps,TP9,AF7,AF8,TP10,Right AUX
1722219704.399,-51.758,-37.109,-31.250,-55.664,0.000
1722219704.402,-79.102,-35.156,-38.574,-76.172,0.000
1722219704.406,-84.961,-30.762,-33.203,-70.312,0.000
1722219704.411,-60.059,-33.203,-30.762,-56.641,0.000
1722219704.414,-52.734,-31.738,-34.668,-67.871,0.000
1722219704.418,-67.871,-30.762,-33.691,-88.379,0.000
1722219704.422,-83.984,-33.203,-37.109,-78.613,0.000
1722219704.426,-69.336,-30.273,-41.504,-56.152,0.000
1722219704.430,-55.664,-35.156,-37.598,-55.664,0.000
1722219704.434,-61.523,-46.875,-36.133,-58.594,0.000
1722219704.438,-66.406,-38.574,-35.156,-56.641,0.000
1722219704.442,-45.410,-24.902,-28.809,-42.969,0.000
1722219704.445,-41.504,-22.949,-34.180,-55.176,0.000
1722219704.449,-62.500,-23.438,-43.945,-79.102,0.000
1722219704.453,-68.848,-24.902,-44.434,-66.895,0.000
1722219704.457,-64.453,-28.809,-43.457,-55.664,0.000
1722219704.461,-43.945,-31.250,-49.316,-57.617,0.000
1722219704.465,-50.781,-30.762,-53.223,-70.312,0.000
1722219704.469,-71.289,-28.809,-41.504,-77.637,0.000
1722219704.473,-71.777,-29.785,-41.992,-60.547,0.000
1722219704.477,-54.688,-37.109,-47.852,-47.852,0.000
1722219704.481,-54.199,-45.898,-42.480,-67.383,0.000
1722219704.485,-54.688,-40.039,-41.016,-71.777,0.000
1722219704.488,-58.594,-33.691,-42.969,-55.176,0.000
1722219704.492,-67.383,-47.852,-53.711,-60.059,0.000
1722219704.496,-52.246,-50.781,-50.781,-67.871,0.000
1722219704.500,-45.898,-36.133,-41.992,-60.547,0.000
1722219704.504,-52.734,-38.574,-45.898,-62.988,0.000
1722219704.508,-55.176,-37.598,-49.805,-59.082,0.000
1722219704.512,-43.457,-31.738,-48.340,-53.223,0.000
1722219704.516,-34.180,-31.250,-41.504,-60.547,0.000
1722219704.520,-57.129,-33.203,-41.016,-57.617,0.000
1722219704.524,-66.406,-39.062,-47.363,-42.969,0.000
1722219704.528,-50.293,-43.457,-44.434,-46.387,0.000
1722219704.531,-48.340,-51.270,-39.551,-64.453,0.000
1722219704.535,-68.359,-52.246,-39.062,-85.938,0.000
1722219704.539,-82.031,-40.039,-43.457,-80.078,0.000
1722219704.543,-59.570,-41.016,-55.176,-71.777,0.000
1722219704.547,-47.852,-45.410,-52.734,-88.867,0.000
1722219704.551,-65.918,-41.016,-48.340,-83.496,0.000
1722219704.555,-75.684,-43.457,-51.270,-68.848,0.000
1722219704.559,-56.152,-41.992,-47.363,-57.617,0.000
1722219704.563,-39.551,-36.621,-52.734,-64.453,0.000
1722219704.567,-47.852,-36.621,-53.711,-75.195,0.000
1722219704.571,-53.711,-39.062,-41.504,-68.848,0.000
1722219704.574,-42.969,-40.527,-37.598,-47.363,0.000
1722219704.578,-20.508,-40.039,-36.133,-43.945,0.000
1722219704.582,-38.086,-37.598,-48.828,-75.684,0.000
1722219704.586,-59.082,-37.109,-51.758,-74.707,0.000
1722219704.590,-59.082,-43.457,-43.457,-63.477,0.000
1722219704.594,-44.434,-42.969,-44.434,-58.594,0.000
1722219704.598,-41.992,-39.062,-47.363,-62.988,0.000
1722219704.602,-65.918,-38.086,-43.945,-77.148,0.000
1722219704.606,-73.242,-36.133,-48.828,-77.637,0.000
1722219704.610,-45.898,-29.297,-48.828,-64.941,0.000
1722219704.614,-31.738,-29.785,-35.156,-54.199,0.000
1722219704.617,-45.410,-32.227,-40.527,-73.242,0.000
1722219704.621,-55.664,-38.086,-36.133,-57.617,0.000
1722219704.625,-52.734,-44.434,-35.645,-45.410,0.000
1722219704.629,-44.922,-39.551,-51.758,-69.824,0.000
1722219704.633,-50.781,-34.180,-55.664,-69.336,0.000
1722219704.637,-64.453,-32.227,-46.387,-63.965,0.000
1722219704.641,-67.383,-39.062,-39.551,-67.383,0.000
1722219704.645,-52.246,-41.992,-35.645,-64.941,0.000
1722219704.649,-50.781,-37.598,-40.039,-71.777,0.000
1722219704.653,-69.336,-37.598,-44.434,-76.172,0.000
1722219704.656,-74.219,-45.410,-40.527,-61.035,0.000
1722219704.660,-57.617,-45.410,-39.062,-46.875,0.000
1722219704.664,-46.387,-43.457,-38.574,-47.363,0.000
1722219704.668,-52.734,-44.434,-43.457,-66.895,0.000
1722219704.672,-62.012,-46.387,-51.270,-79.590,0.000
1722219704.676,-44.922,-44.434,-50.293,-71.777,0.000
1722219704.680,-36.621,-37.109,-40.039,-63.477,0.000
1722219704.684,-53.223,-37.598,-34.668,-72.754,0.000
1722219704.687,-65.918,-39.551,-37.109,-81.055,0.000
1722219704.692,-62.988,-41.016,-33.203,-68.848,0.000
1722219704.696,-52.734,-42.480,-32.715,-66.406,0.000
1722219704.700,-60.059,-43.457,-41.992,-90.332,0.000
1722219704.703,-73.242,-46.875,-41.504,-81.055,0.000
1722219704.707,-63.477,-42.480,-36.621,-56.641,0.000
1722219704.711,-52.246,-42.969,-39.062,-62.500,0.000
1722219704.715,-57.617,-44.434,-38.574,-69.824,0.000
1722219704.719,-68.848,-39.551,-38.086,-74.219,0.000
1722219704.723,-71.289,-40.039,-35.645,-73.242,0.000
1722219704.727,-48.340,-38.574,-30.273,-59.082,0.000
1722219704.731,-45.898,-34.180,-38.086,-65.430,0.000
1722219704.734,-54.199,-32.715,-46.875,-86.914,0.000
1722219704.739,-63.477,-34.668,-41.992,-79.102,0.000
1722219704.743,-52.734,-35.156,-43.945,-63.477,0.000
